v2_code,related_v1_codes,reason
IOT-01,"IOT-01, IOT-01-01, IOT-01-02, IOT-01-03, IOT-01-04, IOT-01-05, IOT-01-06, IOT-01-07, IOT-01-08",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-01,"IOT-01, IOT-01-01",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-02,"IOT-01, IOT-01-02",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-03,"IOT-01, IOT-01-03",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-04,"IOT-01, IOT-01-04",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-05,"IOT-01, IOT-01-05",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-06,"IOT-01, IOT-01-06",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-07,"IOT-01, IOT-01-07",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
IOT-01-08,"IOT-01, IOT-01-08",V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-01,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-02,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-03,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-04,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-05,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-06,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
MKT-06-07,MKT-06,V1 행 범위에 동일/상위/하위 코드가 있어 V1 코드로 확정하고 V2 매칭에서 제외
